Data,Time,LabName,WaterTemp,pH,DissolveOxygen,TotalNitrogen,Phosphorus,TotalOrganicCarbons,Phenol,Cyan
20210412,0.25,탄천,16.9,6.9,5,8.02,0.065,3.8,0,0
20210412,0.25,중랑천,17.7,7.2,6.1,6.3,0.14,5.4,0,0
20210412,0.25,안양천,16.6,6.9,4.5,10.72,0.19,5.5,0,0
20210412,0.25,선유,15.5,7.2,9.2,3.24,0.061,2.4,0,0
20210412,0.25,노량진,14.9,7.3,9.1,3.15,0.05,2.2,0,0
20210412,0.208333333,탄천,17.1,6.9,5.1,8.3,0.075,4.1,0,0
20210412,0.208333333,중랑천,17.8,7.3,6.2,6.3,0.14,5.6,0,0
20210412,0.208333333,안양천,16.8,6.9,4.5,7.58,0.195,5.5,0,0
20210412,0.208333333,선유,15.5,7.2,9.3,3.26,0.058,2.8,0,0
20210412,0.208333333,노량진,15,7.3,9,3.025,0.048,2.2,0,0
20210412,0.166666667,탄천,17.3,6.9,5,8.42,0.075,4.1,0,0
20210412,0.166666667,중랑천,17.9,7.3,6.7,6.3,0.14,5,0,0
20210412,0.166666667,안양천,17,6.9,4.5,9.58,0.215,5.5,0,0
20210412,0.166666667,선유,15.5,7.2,9.5,3.2,0.06,2.5,0,0
20210412,0.166666667,노량진,15,7.3,9.1,3.075,0.048,2,0,0
20210412,0.125,탄천,17.6,6.9,5.1,8.48,0.075,4.1,0,0
20210412,0.125,중랑천,18,7.3,6.9,6.3,0.14,5.2,0,0
20210412,0.125,안양천,17.3,6.9,4.5,8.95,0.215,5.6,0,0
20210412,0.125,선유,15.4,7.2,9.5,3.16,0.061,2.3,0,0
20210412,0.125,노량진,15,7.3,9.1,3.125,0.05,2.2,0,0
20210412,0.083333333,탄천,17.7,6.9,5.1,8.94,0.075,4.1,0,0
20210412,0.083333333,중랑천,18,7.3,7.4,6.1,0.12,4.9,0,0
20210412,0.083333333,안양천,17.6,6.9,4.5,9.41,0.295,5.6,0,0
20210412,0.083333333,선유,15.5,7.2,9.4,3.18,0.059,2.5,0,0
20210412,0.083333333,노량진,15,7.3,9.1,3.2,0.048,2.2,0,0
20210412,0.041666667,탄천,17.9,6.9,5.2,9.04,0.075,4.2,0,0
20210412,0.041666667,중랑천,18.1,7.3,7.7,6.1,0.12,4.9,0,0
20210412,0.041666667,안양천,18,6.9,4.7,8.68,0.29,5.8,0,0
20210412,0.041666667,선유,15.4,7.3,9.5,3.16,0.06,2.6,0,0
20210412,0.041666667,노량진,15.1,7.3,9.1,3.15,0.052,2.2,0,0
20210411,1,탄천,18.2,6.9,5.2,9.02,0.08,4.2,0,0
20210411,1,중랑천,18.3,7.4,8,6.1,0.12,4.9,0,0
20210411,1,안양천,18.4,6.9,4.8,8.58,0.295,6,0,0
20210411,1,선유,15.2,7.3,9.6,3.1,0.06,2.5,0,0
20210411,1,노량진,15.1,7.3,9.2,3.025,0.056,2.1,0,0
20210411,0.958333333,탄천,18.4,6.9,5.4,8.84,0.095,4.2,0,0
20210411,0.958333333,중랑천,18.6,7.4,8.3,6.1,0.12,4.9,0,0
20210411,0.958333333,안양천,18.8,6.9,4.8,8.64,0.325,6,0,0
20210411,0.958333333,선유,15.2,7.3,9.8,3.1,0.066,2.5,0,0
20210411,0.958333333,노량진,15.2,7.3,9.3,3,0.052,2.2,0,0
20210411,0.916666667,탄천,18.6,6.9,5.4,8.92,0.08,4.3,0,0
20210411,0.916666667,중랑천,18.7,7.4,8.4,6.3,0.14,4.8,0,0
20210411,0.916666667,안양천,19.3,6.9,5.2,8.3,0.315,6,0,0
20210411,0.916666667,선유,15.2,7.3,9.9,3.1,0.067,2.5,0,0
20210411,0.916666667,노량진,15.5,7.4,9.6,3.025,0.05,2.2,0,0
20210411,0.875,탄천,18.8,6.9,5.6,8.48,0.08,5.2,0,0
20210411,0.875,중랑천,18.8,7.4,8.7,6.3,0.14,4.7,0,0
20210411,0.875,안양천,19.9,6.9,4.7,9.11,0.35,7.3,0,0
